2025-05-16 14:36:45,517 - INFO - Starting advanced keylogger detection system...
2025-05-16 14:36:47,913 - INFO - Key pressed: h, Interval: 3.360s
2025-05-16 14:36:48,174 - INFO - Key pressed: e, Interval: 0.261s
2025-05-16 14:36:48,815 - INFO - Key pressed: l, Interval: 0.641s
2025-05-16 14:36:48,960 - INFO - Key pressed: l, Interval: 0.144s
2025-05-16 14:36:49,158 - INFO - Key pressed: o, Interval: 0.198s
2025-05-16 14:36:50,587 - INFO - Key pressed: space, Interval: 1.430s
2025-05-16 14:36:51,914 - INFO - Key pressed: m, Interval: 1.327s
2025-05-16 14:36:52,189 - INFO - Key pressed: y, Interval: 0.275s
2025-05-16 14:36:52,354 - INFO - Key pressed: space, Interval: 0.164s
2025-05-16 14:36:52,526 - INFO - Key pressed: n, Interval: 0.173s
2025-05-16 14:36:52,615 - INFO - Key pressed: a, Interval: 0.089s
2025-05-16 14:36:52,780 - INFO - Key pressed: m, Interval: 0.165s
2025-05-16 14:36:52,930 - INFO - Key pressed: e, Interval: 0.150s
2025-05-16 14:36:53,120 - INFO - Key pressed: space, Interval: 0.189s
2025-05-16 14:36:53,491 - INFO - Key pressed: i, Interval: 0.372s
2025-05-16 14:36:53,644 - INFO - Key pressed: s, Interval: 0.153s
2025-05-16 14:36:53,848 - INFO - Key pressed: space, Interval: 0.204s
2025-05-16 14:36:55,718 - INFO - Key pressed: b, Interval: 1.870s
2025-05-16 14:36:55,851 - INFO - Key pressed: a, Interval: 0.133s
2025-05-16 14:36:55,977 - INFO - Key pressed: t, Interval: 0.126s
2025-05-16 14:36:56,312 - INFO - Key pressed: m, Interval: 0.335s
2025-05-16 14:36:56,623 - INFO - Key pressed: a, Interval: 0.311s
2025-05-16 14:36:56,727 - INFO - Key pressed: n, Interval: 0.104s
2025-05-16 14:36:58,564 - INFO - Advanced keylogger detection system stopped.
2025-05-16 14:40:16,495 - INFO - Starting advanced keylogger detection system...
2025-05-16 14:40:18,432 - INFO - Key pressed: h, Interval: 2.549s
2025-05-16 14:40:18,585 - INFO - Key pressed: e, Interval: 0.154s
2025-05-16 14:40:18,828 - INFO - Key pressed: l, Interval: 0.243s
2025-05-16 14:40:18,997 - INFO - Key pressed: l, Interval: 0.168s
2025-05-16 14:40:19,208 - INFO - Key pressed: 0, Interval: 0.211s
2025-05-16 14:40:19,458 - INFO - Key pressed: o, Interval: 0.251s
2025-05-16 14:40:20,060 - INFO - Key pressed: enter, Interval: 0.602s
2025-05-16 14:40:20,838 - INFO - Key pressed: k, Interval: 0.778s
2025-05-16 14:40:21,079 - INFO - Key pressed: i, Interval: 0.241s
2025-05-16 14:40:21,218 - INFO - Key pressed: s, Interval: 0.139s
2025-05-16 14:40:21,386 - INFO - Key pressed: h, Interval: 0.168s
2025-05-16 14:40:21,388 - INFO - Key pressed: j, Interval: 0.002s
2025-05-16 14:40:21,388 - WARNING - Rapid key press detected: j, Interval: 0.002s
2025-05-16 14:40:21,522 - INFO - Key pressed: j, Interval: 0.135s
2025-05-16 14:40:21,587 - INFO - Key pressed: k, Interval: 0.065s
2025-05-16 14:40:21,934 - INFO - Key pressed: s, Interval: 0.346s
2025-05-16 14:40:21,946 - INFO - Key pressed: k, Interval: 0.012s
2025-05-16 14:40:21,947 - WARNING - Rapid key press detected: k, Interval: 0.012s
2025-05-16 14:40:22,193 - INFO - Key pressed: k, Interval: 0.247s
2025-05-16 14:40:22,349 - INFO - Key pressed: s, Interval: 0.155s
2025-05-16 14:40:24,671 - INFO - Advanced keylogger detection system stopped.
